Run Type,Dataset,Accuracy,Precision,Recall,F1 Score,Disparate Impact,Statistical Parity Difference,PPV Parity,FPR Parity,Model
Baseline,German Credit,0.75,0.7973568281938326,0.861904761904762,0.8283752860411899,0.7890986132511557,-0.15401926999085724,0.1578014184397164,0.012307692307692353,Logistic Regression
DSP,German Credit,0.78,0.8177777777777778,0.8803827751196173,0.847926267281106,0.8806451612903226,-0.08525345622119818,0.051587301587301626,0.3120204603580563,Logistic Regression
LFR,German Credit,0.6366666666666667,0.7016129032258065,0.8325358851674641,0.7614879649890591,0.8806451612903226,-0.08525345622119818,0.11804518761819449,0.07544757033248084,Logistic Regression
Baseline,German Credit,0.73,0.7654320987654321,0.8857142857142857,0.8211920529801324,0.7890986132511557,-0.15401926999085724,0.13817733990147785,0.10153846153846147,Random Forest
DSP,German Credit,0.7533333333333333,0.7647058823529411,0.9330143540669856,0.8405172413793104,0.8806451612903226,-0.08525345622119818,0.004680674017058406,0.24232736572890023,Random Forest
LFR,German Credit,0.6366666666666667,0.7016129032258065,0.8325358851674641,0.7614879649890591,0.8806451612903226,-0.08525345622119818,0.11804518761819449,0.07544757033248084,Random Forest
Baseline,Income Census,0.846502375953144,0.7284277395447326,0.61101243339254,0.6645737744506158,0.3852472657785247,-0.19060936827667813,0.02023212645437844,0.07463331022241995,Logistic Regression
DSP,Income Census,0.8488230743728589,0.7174119885823026,0.6608238387379491,0.6879562043795621,0.3589947942816373,-0.2036429050424906,0.06457643550107472,0.10925452917973509,Logistic Regression
LFR,Income Census,0.7755553099790032,0.6075407026563839,0.310692375109553,0.4111336619309945,0.3589947942816373,-0.2036429050424906,0.2558481231218767,0.01036918198675437,Logistic Regression
Baseline,Income Census,0.8404243562824621,0.6984282907662083,0.6314387211367674,0.6632462686567164,0.3852472657785247,-0.19060936827667813,0.010351914768675807,0.09532550882281714,Random Forest
DSP,Income Census,0.8384351862084208,0.6933962264150944,0.6441717791411042,0.667878237164925,0.3589947942816373,-0.2036429050424906,0.010744719522653323,0.10195075351463012,Random Forest
LFR,Income Census,0.7755553099790032,0.6075407026563839,0.310692375109553,0.4111336619309945,0.3589947942816373,-0.2036429050424906,0.2558481231218767,0.01036918198675437,Random Forest
Baseline,Recidivism Compass,0.6757505773672056,0.6834966088922382,0.7628259041211102,0.7209856915739269,0.8172581767571329,-0.11421363952679198,0.017262167537726136,0.22132253711201083,Logistic Regression
DSP,Recidivism Compass,0.6822170900692841,0.6988505747126437,0.7555923777961889,0.7261146496815286,0.8315486993345432,-0.10562351825509719,0.028650403650403722,0.18717327553232177,Logistic Regression
LFR,Recidivism Compass,--,--,--,--,--,--,--,--,Logistic Regression
Baseline,Recidivism Compass,0.6443418013856813,0.6732837055417701,0.6846089150546678,0.6788990825688074,0.8172581767571329,-0.11421363952679198,0.029119439539784686,0.2009441483125694,Random Forest
DSP,Recidivism Compass,0.6438799076212471,0.6841216216216216,0.6710853355426678,0.6775407779171895,0.8315486993345432,-0.10562351825509719,0.057874659400544926,0.09288537549407111,Random Forest
LFR,Recidivism Compass,--,--,--,--,--,--,--,--,Random Forest
